BIO	TOPO	TYPE
TI000209	24.46861@39.61417	TOID_PR
TI000209	اليمن	TOPO_SE
TI000209	14.953277@44.868164	TOID_SE
TI000210	60	DEATH_AH
TI000210	NoToponym	TOPO_NO
TI000211	60	DEATH_AH
TI000211	البصرة	TOPO_SE
TI000211	30.53302@47.79747	TOID_SE
TI000211	عمان	TOPO_SE
TI000211	22.195544@57.524414	TOID_SE
TI000211	البحرين	TOPO_SE
TI000211	26.159383@49.592285	TOID_SE
TI000211	الطائف	TOPO_PR
TI000211	21.27028@40.41583	TOID_PR
TI000212	60	DEATH_AH
TI000212	الجزيرة	TOPO_PR
TI000212	36.582011@42.484131	TOID_PR
TI000213	60	DEATH_AH
TI000213	مصر	TOPO_PR
TI000213	30.08383@31.231384	TOID_PR
TI000213	العراق	TOPO_SE
TI000213	32.270413@45.032959	TOID_SE
TI000214	60	DEATH_AH
TI000214	البصرة	TOPO_PR
TI000214	30.53302@47.79747	TOID_PR
TI000214	ريدة	TOPO_SE
TI000214	15.81421@44.04085	TOID_SE
TI000214	المدينة	TOPO_SE
TI000214	24.46861@39.61417	TOID_SE
TI000215	60	DEATH_AH
TI000215	المدينة	TOPO_SE
TI000215	24.46861@39.61417	TOID_SE
TI000215	الشام	TOPO_SE
TI000215	34.672973@37.155762	TOID_SE
TI000215	داريا	TOPO_PR
TI000215	33.461571@36.241951	TOID_PR
TI000216	60	DEATH_AH
TI000216	اليمن	TOPO_PR
TI000216	14.953277@44.868164	TOID_PR
TI000217	60	DEATH_AH
TI000217	NoToponym	TOPO_NO
TI000218	60	DEATH_AH
TI000218	المدينة	TOPO_SE
TI000218	24.46861@39.61417	TOID_SE
TI000218	تبوك	TOPO_PR
TI000218	28.38333@36.58333	TOID_PR
TI000219	60	DEATH_AH
TI000219	فلسطين	TOPO_PR
TI000219	31.756663@35.191956	TOID_PR
TI000219	دمشق	TOPO_SE
TI000219	33.511603@36.306633	TOID_SE
TI000220	60	DEATH_AH
TI000220	NoToponym	TOPO_NO
TI000221	60	DEATH_AH
TI000221	البصرة	TOPO_PR
TI000221	30.53302@47.79747	TOID_PR
TI000222	60	DEATH_AH
TI000222	الكوفة	TOPO_PR
TI000222	32.03472@44.40333	TOID_PR
TI000222	الانبار	TOPO_SE
TI000222	33.425@43.716667	TOID_SE
TI000223	60	DEATH_AH
TI000223	NoToponym	TOPO_NO
TI000224	60	DEATH_AH
TI000224	دمشق	TOPO_PR
TI000224	33.511603@36.306633	TOID_PR
TI000225	60	DEATH_AH
TI000225	اليمن	TOPO_PR
TI000225	14.953277@44.868164	TOID_PR
TI000226	60	DEATH_AH
TI000226	مكة	TOPO_PR
TI000226	21.416667@39.816667	TOID_PR
TI000226	سمرقند	TOPO_SE
TI000226	39.65417@66.95972	TOID_SE
TI000226	المدينة	TOPO_SE
TI000226	24.46861@39.61417	TOID_SE
TI000226	خراسان	TOPO_SE
TI000226	36.564365@58.831787	TOID_SE
TI000227	60	DEATH_AH
TI000227	الكوفة	TOPO_PR
TI000227	32.03472@44.40333	TOID_PR
TI000228	60	DEATH_AH
TI000228	المدينة	TOPO_SE
TI000228	24.46861@39.61417	TOID_SE
TI000228	مصر	TOPO_PR
TI000228	30.08383@31.231384	TOID_PR
TI000229	60	DEATH_AH
TI000229	NoToponym	TOPO_NO
TI000230	60	DEATH_AH
TI000230	NoToponym	TOPO_NO
TI000231	60	DEATH_AH
TI000231	NoToponym	TOPO_NO
TI000232	60	DEATH_AH
TI000232	NoToponym	TOPO_NO
TI000233	60	DEATH_AH
TI000233	NoToponym	TOPO_NO
TI000234	60	DEATH_AH
TI000234	الاردن	TOPO_SE
TI000234	32.849827@35.338898	TOID_SE
TI000234	البصرة	TOPO_PR
TI000234	30.53302@47.79747	TOID_PR
TI000235	60	DEATH_AH
TI000235	البصرة	TOPO_PR
TI000235	30.53302@47.79747	TOID_PR
TI000236	60	DEATH_AH
TI000236	الروم	TOPO_PR
TI000236	39.201611@33.991699	TOID_PR
TI000237	60	DEATH_AH
TI000237	NoToponym	TOPO_NO
TI000238	60	DEATH_AH
TI000238	البصرة	TOPO_PR
TI000238	30.53302@47.79747	TOID_PR
TI000239	60	DEATH_AH
TI000239	NoToponym	TOPO_NO
TI000240	60	DEATH_AH
TI000240	NoToponym	TOPO_NO
TI000241	60	DEATH_AH
TI000241	الكوفة	TOPO_PR
TI000241	32.03472@44.40333	TOID_PR
TI000242	60	DEATH_AH
TI000242	NoToponym	TOPO_NO
TI000243	60	DEATH_AH
TI000243	الحبشة	TOPO_PR
TI000243	13.761262@39.155273	TOID_PR
TI000243	المدينة	TOPO_SE
TI000243	24.46861@39.61417	TOID_SE
TI000244	60	DEATH_AH
TI000244	البصرة	TOPO_PR
TI000244	30.53302@47.79747	TOID_PR
TI000245	60	DEATH_AH
TI000245	الحبشة	TOPO_PR
TI000245	13.761262@39.155273	TOID_PR
TI000246	60	DEATH_AH
TI000246	مصر	TOPO_PR
TI000246	30.08383@31.231384	TOID_PR
TI000246	الاسكندرية	TOPO_SE
TI000246	31.21564@29.95527	TOID_SE
TI000246	النوبة	TOPO_SE
TI000246	23.886842@32.931519	TOID_SE
TI000246	افريقية	TOPO_SE
TI000246	35.109125@9.624023	TOID_SE
TI000246	اليمن	TOPO_SE
TI000246	14.953277@44.868164	TOID_SE
TI000247	60	DEATH_AH
TI000247	NoToponym	TOPO_NO
TI000248	60	DEATH_AH
TI000248	الشام	TOPO_SE
TI000248	34.672973@37.155762	TOID_SE
